Wade,30,60,Green,Class/12:35/9:15/COE,Class/09:35/12:15/COAS,Class/13:35/12:15/Student_Union,Class/09:35/10:15/COAS,Class/11:05/10:15/COB,Class/09:35/10:55/COAS,Club/13:35/12:55/COE
John,60,30,Blue,Class/13:35/11:55/Student_Union,Class/08:35/14:15/COE,Class/09:05/14:15/COB,Class/11:35/14:55/Student_Union,Meeting/08:35/08:50/COE,Class/08:00/12:15/Student_Union,Club/12:35/10:55/COAS
Mao,20,10,Yellow,Club/14:05/11:15/COB,Meeting/08:35/09:55/COA,Club/12:35/08:50/Student_Union,Meeting/10:05/10:15/COE,Meeting/09:05/10:55/COB,Meeting/10:05/11:15/COA,Meeting/10:35/13:15/COE
Bob,25,45,Yellow,Class/10:05/13:15/COA,Class/09:05/11:55/Student_Union,Club/09:05/14:15/COAS,Club/13:05/13:55/COB,Meeting/12:05/14:15/Student_Union,Club/11:35/08:50/COB,Class/13:35/10:15/COB
Wade,20,10,Green,Club/12:05/13:15/COA,Meeting/13:05/13:15/Student_Union,Meeting/11:05/13:15/Student_Union,Meeting/11:35/09:55/COE,Club/10:35/10:55/COAS,Club/13:35/14:15/COE,Class/13:05/13:15/COAS
Sam,15,25,Blue,Class/10:05/14:55/COE,Meeting/09:35/12:15/COE,Club/11:05/12:15/Student_Union,Club/11:05/10:15/COE,Club/09:35/09:55/COB,Meeting/11:35/10:55/COB,Club/08:35/10:55/COA
Amy,50,50,Blue,Club/13:05/12:15/COE,Meeting/13:35/11:55/COAS,Meeting/12:35/14:15/COA,Club/14:05/12:15/COA,Club/13:35/10:15/COB,Class/14:05/12:15/COA,Meeting/10:35/13:55/COAS
John,45,60,Blue,Club/09:35/11:55/COA,Meeting/09:05/08:50/COE,Class/11:35/09:55/COAS,Club/10:05/14:55/COE,Club/09:35/9:15/Student_Union,Meeting/12:05/14:15/Student_Union,Meeting/09:05/12:15/COE
Amy,20,60,Blue,Club/10:05/14:55/Student_Union,Club/08:00/08:50/Student_Union,Club/08:35/10:55/Student_Union,Class/14:05/13:15/COB,Club/09:05/13:15/Student_Union,Club/12:35/08:50/COAS,Class/13:05/11:15/COE
Stalin,20,15,Green,Club/13:35/14:55/Student_Union,Meeting/12:35/14:15/COB,Class/08:00/14:15/COA,Class/12:35/12:15/COAS,Class/08:00/11:15/COB,Class/12:05/10:55/COE,Class/11:05/12:55/COAS
Wade,15,30,Yellow,Class/08:00/9:15/COB,Meeting/13:05/12:55/Student_Union,Club/12:35/11:15/COAS,Class/11:35/09:55/COAS,Meeting/10:05/10:15/COB,Club/08:00/10:55/COA,Class/11:05/13:15/COB
Sam,30,15,Blue,Meeting/09:05/12:15/COAS,Meeting/11:05/13:55/COAS,Class/14:05/12:55/COAS,Class/13:35/10:15/COAS,Club/11:05/14:15/COAS,Class/14:05/11:55/COA,Class/09:35/08:50/COAS
John,30,50,Green,Meeting/13:05/13:55/COA,Club/13:35/08:50/COAS,Meeting/09:35/14:15/COE,Club/09:05/09:55/Student_Union,Club/14:05/10:15/Student_Union,Class/10:05/12:55/Student_Union,Meeting/08:35/13:15/COB
John,55,55,Green,Meeting/09:35/11:55/COA,Meeting/13:35/14:55/COAS,Meeting/10:05/08:50/COB,Meeting/11:05/10:55/Student_Union,Club/09:05/12:15/COAS,Meeting/13:35/11:15/Student_Union,Class/12:05/14:55/COA
John,30,30,Blue,Class/10:05/08:50/COB,Club/13:05/12:55/Student_Union,Club/14:05/10:55/COAS,Meeting/11:05/08:50/COB,Club/08:00/09:55/COAS,Club/11:35/14:55/COAS,Class/10:05/11:15/COB
Bob,25,20,Green,Class/12:35/09:55/COA,Club/09:35/14:55/COAS,Club/08:00/11:55/COB,Class/13:05/14:15/COA,Club/09:35/12:55/COE,Class/12:35/14:15/Student_Union,Class/12:35/12:55/COB
Sam,25,50,Yellow/EV,Club/08:00/08:50/COAS,Meeting/14:05/09:55/COB,Club/11:35/14:55/COA,Class/08:35/14:15/Student_Union,Meeting/08:00/10:55/COAS,Class/11:05/14:55/Student_Union,Class/12:05/13:15/COE
Stalin,30,60,Blue/EV,Club/11:35/08:50/COA,Meeting/09:35/10:15/COB,Club/08:35/10:15/Student_Union,Meeting/10:05/08:50/COB,Class/09:05/9:15/COAS,Club/12:05/08:50/COB,Meeting/10:35/08:50/COA
Bob,50,10,Blue,Class/13:05/08:50/COB,Meeting/09:05/14:55/Student_Union,Meeting/10:05/11:15/COA,Club/09:35/13:55/Student_Union,Meeting/09:05/08:50/COB,Class/08:35/11:55/COAS,Class/10:05/11:15/Student_Union
Bob,25,30,Blue,Class/11:05/12:55/COB,Club/12:35/08:50/Student_Union,Meeting/08:00/14:55/COE,Club/13:05/14:15/COA,Club/09:05/9:15/COA,Meeting/12:35/14:15/COE,Meeting/08:00/9:15/COE
John,45,60,Blue,Meeting/11:05/10:15/COAS,Class/13:05/09:55/COA,Class/09:05/08:50/COAS,Class/08:35/11:15/COA,Class/08:35/9:15/COB,Club/13:05/11:15/COB,Meeting/11:35/9:15/COE
John,55,45,Green/EV,Meeting/10:35/08:50/COAS,Club/11:05/14:55/COAS,Class/12:35/12:15/COA,Club/10:35/09:55/COAS,Class/11:35/10:15/COE,Class/14:05/10:55/COB,Meeting/12:05/09:55/Student_Union
Stalin,15,60,Green,Class/08:35/08:50/COB,Meeting/13:35/13:15/COB,Club/11:35/12:15/Student_Union,Meeting/13:05/09:55/COAS,Class/09:05/12:55/Student_Union,Meeting/12:05/08:50/COE,Meeting/09:35/11:15/COE
Amy,25,25,Yellow,Class/12:35/12:15/COA,Club/08:35/12:55/COAS,Class/10:05/14:55/COAS,Club/13:35/12:55/Student_Union,Meeting/10:35/09:55/COE,Class/12:05/14:15/COAS,Club/12:35/12:55/COA
Bob,50,15,Yellow/EV,Club/09:05/14:15/Student_Union,Class/10:05/10:55/COE,Class/11:35/13:55/Student_Union,Class/10:35/14:55/COB,Class/11:05/10:55/COB,Meeting/08:35/11:55/COAS,Club/12:05/14:55/Student_Union
Sam,55,60,Yellow,Class/14:05/10:15/COA,Club/09:05/14:15/COB,Class/10:05/12:15/COB,Club/08:00/13:55/COAS,Class/10:05/13:55/Student_Union,Club/13:05/09:55/COAS,Club/12:35/10:55/COE
Bob,15,50,Green/Handicapped,Class/08:00/09:55/COB,Club/09:05/09:55/Student_Union,Class/13:35/10:15/Student_Union,Class/12:35/14:55/COA,Class/09:35/10:55/COA,Meeting/08:35/10:15/COE,Meeting/09:05/12:55/Student_Union
